,0,1
0,-8.688807919579512e-05,-3.3595246899425146e-06
1,2.027956169874836e-05,9.074709585799184e-05
2,7.631470231218597e-05,3.23915770251587e-05
3,-1.0966387108405582e-05,7.170342658799701e-05
4,6.195241541552718e-05,1.8550420278821392e-05
5,-8.900400409789524e-05,3.3912359844307966e-05
6,-4.976901255091231e-05,-5.012297644444515e-05
7,-5.1840562969394055e-05,1.3532999354685097e-06
8,2.66625611558582e-05,5.636509110541632e-06
9,3.0479509324555124e-05,2.1357686542776275e-05
10,-6.770865937263896e-05,1.4200536091223828e-05
11,-1.4400030548417257e-05,-3.4262129562697056e-05
12,-6.479526242523304e-05,4.00667135912585e-05
13,6.454964223309516e-06,-2.180963854575007e-05
14,-1.7456440736089338e-05,-8.477104419543069e-05
15,6.007381970440478e-06,3.819733570782932e-05
16,-3.258365536202848e-05,-2.0947958689789366e-05
17,-4.407356921250416e-05,2.1709591696581463e-05
18,2.06837492536645e-05,-7.885918763202802e-05
19,-6.93085878805946e-05,1.1447759619046091e-06
20,2.172299867161368e-06,8.867659175761915e-05
21,-4.023044089761709e-05,-8.452582920527571e-05
22,-4.175426457083231e-05,-3.400896014168864e-05
23,3.044671583567322e-05,-7.901213849501821e-05
24,5.323624787588093e-05,-3.4231552624181135e-05
25,-1.2264278693647265e-06,6.466831387768944e-05
26,1.713251124168566e-05,-2.063644835117442e-05
27,5.7064411611132e-05,-5.952401031313255e-05
28,-4.088506461128467e-05,8.638753676914946e-05
29,-3.805471556548658e-05,8.265193643496557e-05
30,2.413883636367868e-05,-9.558502635397888e-05
31,-5.650395063372209e-05,6.529286761050537e-05
32,-2.0175049173924497e-05,2.6918184804584425e-05
33,2.7936604013133195e-05,7.386544685030845e-05
34,2.239353050030231e-05,-2.2977977265296e-05
35,-5.719640346968409e-05,5.957271435243592e-05
36,-1.2465949064477096e-05,5.666090160889052e-05
37,8.032052650157854e-06,-7.82415893722158e-05
38,-8.271796991225354e-05,-3.8587617047066615e-05
39,9.722051860026472e-05,3.598717984752424e-06
40,2.771440704854278e-05,1.587686068355494e-05
41,-2.4162294983715057e-05,-1.6040072321509366e-05
42,-2.51716350599656e-06,-7.903022349335572e-05
43,-6.645661991659703e-05,-4.038259725042432e-05
44,4.535418321678052e-05,-8.28930642455175e-06
45,8.461741365087964e-05,-4.493343166091904e-05
46,6.43019159004202e-05,3.3410756040614886e-05
47,6.942024623500093e-05,7.852851705510621e-06
48,7.992658254432501e-05,1.9278663707618745e-05
49,5.176199907024253e-05,4.596084981374424e-05
50,1.462216410694568e-05,1.9388631969164823e-05
51,7.87115017075526e-05,-6.885576504842846e-06
52,5.458505112380532e-05,4.29393227640183e-05
53,7.251345999950271e-05,6.015368350395182e-05
54,-7.503030236891671e-06,-3.329882454971065e-05
55,-1.7738462395207354e-05,-2.1541373209130364e-05
56,7.916213198636749e-05,-2.643629446170712e-05
57,-9.601111487496323e-07,-1.1509673030254428e-05
58,3.0425128590578867e-05,-5.308783840393658e-06
59,8.81007765194897e-05,-3.874467587551809e-05
60,-5.141975881931706e-05,1.2580844161234424e-05
61,-3.423718134441509e-05,4.907225183549054e-05
62,8.092583692827672e-05,2.461923923687333e-05
63,-1.383413494616262e-05,4.5956185451734026e-05
64,2.988218278974901e-05,6.532888610196476e-05
65,2.629481479170476e-06,4.051434989504791e-05
66,-9.656289350853776e-05,9.350211115118846e-06
67,-5.676247767360046e-05,2.335531348401786e-05
68,-8.411085929135502e-05,3.5322917301529926e-05
69,8.941734274943247e-05,-2.16293145719177e-05
70,2.220165231882097e-05,5.521431366028159e-05
71,-6.009409077402741e-05,6.354404617980545e-05
72,-1.05757744126624e-05,-9.783787087886592e-05
73,-6.449654068662843e-05,1.919891087212027e-06
74,-2.8116344917594675e-05,6.868155552627193e-05
75,-4.2664537914670025e-05,-6.09812185285467e-05
76,4.193521099406278e-05,-6.220987876758875e-05
77,-2.3942595013418672e-05,-5.49927641900041e-06
78,6.715623358050713e-05,5.5320291647981257e-05
79,5.47784604283241e-05,-6.950662299919197e-05
80,2.674581762333789e-05,5.567714545290368e-05
81,-4.478582499407848e-05,5.835144490314789e-05
82,-7.703764184525322e-05,4.797093909135075e-05
83,-6.6949657560722e-06,1.3371121509711287e-05
84,2.181050704070247e-05,3.818253027544341e-05
85,-7.462695117194953e-05,-6.283126441895769e-05
86,-5.424254262283548e-05,-1.5250384575749628e-05
87,-2.0709464816606247e-05,-8.263196238294142e-05
88,-4.053041914258138e-05,3.3231379616516425e-05
89,3.222543401473653e-05,6.567542283127092e-05
90,8.57213274414197e-05,5.015649492287105e-05
91,6.074150924181952e-05,-3.755374402598157e-05
92,5.253872446737413e-05,-1.5654384549331705e-05
93,-5.322972685837208e-05,7.443186375031526e-05
94,-4.327490625575614e-05,6.935338842614361e-05
95,-4.246985502020744e-05,3.915292377397972e-05
96,-3.59211489449389e-05,5.36754310632852e-05
97,7.628061303739101e-05,-5.824004574754842e-05
98,4.131303958682392e-05,-4.9500357403271993e-05
99,-1.1279749103499891e-05,8.610508650939729e-05
100,2.6789847221631084e-06,2.188087579166112e-05
101,1.1023354051479872e-05,-4.2688888959060736e-05
102,5.597904361469691e-05,7.248294246350503e-05
103,4.154482821574843e-05,-2.1205604836751143e-05
104,-6.686462571623797e-05,-3.619132519780963e-05
105,1.7460928238060294e-05,4.6327568417406695e-05
106,5.693723672623901e-05,6.121123446343694e-05
107,-3.761680842069695e-05,-6.253671620903346e-05
108,6.407103890443876e-05,6.911367018574856e-05
109,-5.47623791695012e-05,-7.229052962964376e-05
110,-4.626456020594636e-05,-7.748868029633156e-05
111,6.85558425287465e-05,1.7115991957818906e-05
112,4.905129139847317e-05,2.999628060368314e-05
113,-3.949641541650098e-05,-6.923921364910594e-05
114,6.335963273291257e-05,-6.763518968226828e-05
115,-3.090362240660538e-05,6.101028812927291e-05
116,-5.448541143842385e-05,-1.7890179664212076e-05
117,-1.694424047536169e-05,-6.0457641953302745e-05
118,7.185798311209057e-05,-1.7463568240627694e-05
119,8.416544586928062e-05,-3.454556620703371e-05
120,2.176482859174541e-05,-1.8909356911250152e-05
121,-8.888066185599455e-06,-3.3634308468293426e-05
122,-6.120483335281322e-05,5.3659640590548375e-05
123,-1.7979301088050622e-06,7.462263640958529e-06
124,-4.130245605922165e-05,-2.8611162476450548e-05
125,8.663289789502625e-05,-4.990999412045174e-05
